"filename", "language", "HTML", "JSON", "JSON with Comments", "JavaScript", "Rust", "TypeScript", "TOML", "Markdown", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\tomas\Documents\samtro-app\FuncionesUsar.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\tomas\Documents\samtro-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"c:\Users\tomas\Documents\samtro-app\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\tomas\Documents\samtro-app\package-lock.json", "JSON", 0, 3421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3422
"c:\Users\tomas\Documents\samtro-app\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\tomas\Documents\samtro-app\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\tomas\Documents\samtro-app\public\tauri.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\tomas\Documents\samtro-app\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\tomas\Documents\samtro-app\src-tauri\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 4797, 0, 0, 0, 0, 2, 504, 5303
"c:\Users\tomas\Documents\samtro-app\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 4, 28
"c:\Users\tomas\Documents\samtro-app\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\tomas\Documents\samtro-app\src-tauri\capabilities\default.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\commands.rs", "Rust", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 2, 11, 106
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\errors.rs", "Rust", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 2, 10, 86
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\models\mod.rs", "Rust", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 5, 2, 13
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\models\movement.rs", "Rust", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\models\product.rs", "Rust", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\models\user.rs", "Rust", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\repo\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\repo\sqlite_repo.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\services\auth.rs", "Rust", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15, 4, 34
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\services\db.rs", "Rust", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 6, 41
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\services\mod.rs", "Rust", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\tomas\Documents\samtro-app\src-tauri\src\services\movements_repo.rs", "Rust", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
